ID,Round,camId,Direction
19T,k+4,3101,DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
20T,k+4,3110,UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UR-UL-UL-DL-*
21T,k+4,3010,UR-UR-UR-UL-UL-DL-UR-UR-UL-UL-DL-UR-UR-UL-UL-DL-UR-UR-UL-UL-DL-*
22T,k+4,3110,UL-UR-UR-UL-UL-DL-UR-UR-UL-UL-DL-UR-UR-UL-UL-DL-UR-UR-UL-UL-DL-*
23T,k+4,3111,DR-UR-UR-UL-UL-DL-*
24T,k+4,3011,DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
25T,k+5,3101,DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
26T,k+5,3110,UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
27T,k+5,3010,UR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-DL-UR-UL-DR*
28T,k+5,3110,DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-DL-UR-UL-DR*
29T,k+5,3111,UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR*
30T,k+5,3011,DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
