ID,Round,camId,Direction
11Tr,j+2,2011,UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-*
12Tr,j+2,2110,DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-*
13Tr,j+2,2111,DL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-*
14Tr,j+2,2011,UL-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
15Tr,j+2,2101,DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-DL-UR-UL-DR-UR-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
16Tr,j+2,2010,DL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
17Tr,j+2,2000,UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-UL-UL-DR-*
18Tr,j+2,2001,DL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
19Tr,j+2,2012,UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
20Tr,j+2,2301,UR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
21Tr,j+3,2011,UL-UR-UL-UL-DL-UL-DR-*
22Tr,j+3,2110,DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
23Tr,j+3,2111,DL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
24Tr,j+3,2011,UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
25Tr,j+3,2101,DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
26Tr,j+3,2010,UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
27Tr,j+3,2000,UR-UL-UR-R-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
28Tr,j+3,2001,UL-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-DL-UL-DR*
29Tr,j+3,2012,DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-*
30Tr,j+3,2301,DL-DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-*
31Tr,j+4,2011,UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-UL-DL-UL-DR-*
32Tr,j+4,2110,DR-UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
33Tr,j+4,2111,DL-UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
34Tr,j+4,2011,UL-UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
35Tr,j+4,2101,DR-UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
36Tr,j+4,2010,UR-DL-UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-*
37Tr,j+4,2000,DL-UL-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-UL-UL-UR-UR-UL-UL-DL-UL-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
38Tr,j+4,2001,DR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
39Tr,j+4,2012,ULUR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
40Tr,j+4,2301,DL-UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-*
41Tr,j+5,2011,DL-UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
42Tr,j+5,2110,DR-UL-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
43Tr,j+5,2111,DL-UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
44Tr,j+5,2011,UL-UR-UL-UR--UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
45Tr,j+5,2101,DR-UR-UL-UR-UL-UL-L-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
46Tr,j+5,2010,DR-UL-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
47Tr,j+5,2000,UR-UR-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
48Tr,j+5,2001,DL-UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
49Tr,j+5,2012,DR-UR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UL-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-UR-UL-UL-DL-UL-DR-*
50Tr,j+5,2301,UL-UL-UR-UL-UL-UL-UR-UR-UL-UL-DL-UR-UL-UL-UL-UR-UR-UL-UL-DL-*
